title,abstract,doi,year,citations,source
Deep Learning or Trees? A Trade-off Analysis for Multivariate Time Series Forecasting,,10.1007/978-3-032-02725-2_48,2026,0,Scopus
Attention-based spatial-temporal interactive couple neural networks for multivariate time series forecasting,,10.1016/j.ins.2025.122647,2026,0,Scopus
Multivariate Time Series forecasting based on temporal decomposition and graph neural network,,10.1016/j.engappai.2025.112074,2025,2,Scopus
Sensitivity-propagated dual-frequency graph neural network for multivariate time series forecasting,,10.1016/j.neucom.2025.131644,2025,0,Scopus
HUTFormer: Hierarchical U-Net transformer for long-term traffic forecasting,,10.1016/j.commtr.2025.100218,2025,0,Scopus
Efficient spatial-temporal feature aggregation for multivariate time series forecasting with STCA,,10.1016/j.dsp.2025.105460,2025,0,Scopus
Long-Term Forecasting of Multivariate Urban Data via Decomposition and Spatio-Temporal Graph Analysis,,10.1145/3736425.3770109,2025,0,Scopus
ST-Hyper: Learning High-Order Dependencies Across Multiple Spatial-Temporal Scales for Multivariate Time Series Forecasting,,10.1145/3746252.3761281,2025,0,Scopus
MillGNN: Learning Multi-Scale Lead-Lag Dependencies for Multi-Variate Time Series Forecasting,,10.1145/3746252.3761173,2025,0,Scopus
Kolmogorov-Arnold networks for time series forecasting: a comprehensive review,,10.1007/s10586-025-05574-9,2025,0,Scopus
From a multi-period perspective: A periodic dynamics forecasting network for multivariate time series forecasting,,10.1016/j.patcog.2025.111760,2025,1,Scopus
DS-SGCHN: dynamic-static synergetic graph convolutional hierarchical network for traffic forecasting,,10.1088/1361-6501/ae014b,2025,0,Scopus
Beyond Fixed Variables: Expanding-variate Time Series Forecasting via Flat Scheme and Spatio-temporal Focal Learning,,10.1145/3711896.3736854,2025,1,Scopus
Enhancing Multivariate Time Series Forecasting: A Novel Approach with Mallows Model Averaging and Graph Neural Networks,,10.1007/s11424-024-4044-9,2025,1,Scopus
Frequency-domain analysis for cooling load prediction: A Multi-Scale FourierGNN Crossformer approach,,10.1016/j.ijrefrig.2025.04.018,2025,2,Scopus
Application of Rainbow Vertex Antimagic Coloring in Multi-Step Time Series Forecasting for Efficient Railway Passenger Load Management,,10.19139/soic-2310-5070-2214,2025,0,Scopus
DFGCN: Decoupled dual-flow dynamic graph convolutional network for multivariate time series forecasting,,10.1016/j.knosys.2025.113720,2025,2,Scopus
Graph Deep Learning for Time Series Forecasting,,10.1145/3742784,2025,1,Scopus
DeepHGNN: Study of graph neural network based forecasting methods for hierarchically related multivariate time series,,10.1016/j.eswa.2025.127658,2025,2,Scopus
TMF-GNN: Temporal matrix factorization-based graph neural network for multivariate time series forecasting with missing values,,10.1016/j.eswa.2025.127001,2025,6,Scopus
DAMixer: A dual-stage attention-based mixer model for multivariate time series forecasting,,10.1016/j.eswa.2025.127030,2025,0,Scopus
Graph Neural Networks for multivariate time-series forecasting via learning hierarchical spatiotemporal dependencies,,10.1016/j.engappai.2025.110304,2025,2,Scopus
Evolving graph structure learning for multivariate time series forecasting,,10.1016/j.knosys.2025.113190,2025,1,Scopus
Beyond spatial neighbors: Utilizing multivariate transfer entropy for interpretable graph-based spatio–temporal forecasting,,10.1016/j.engappai.2025.110161,2025,1,Scopus
TVC Former: A transformer-based long-term multivariate time series forecasting method using time-variable coupling correlation graph,,10.1016/j.knosys.2025.113147,2025,3,Scopus
GC-MT: A Novel Vessel Trajectory Sequence Prediction Method for Marine Regions,,10.3390/info16040311,2025,2,Scopus
Heterogeneous Graph Transformer Auto-Encoder for multivariate time series forecasting,,10.1016/j.compeleceng.2024.109927,2025,0,Scopus
High–low frequency dynamic interactive fusion network for multivariate time series forecasting,,10.1016/j.knosys.2024.112951,2025,4,Scopus
Parallel multi-scale dynamic graph neural network for multivariate time series forecasting,,10.1016/j.patcog.2024.111037,2025,10,Scopus
Improved Pearson Correlation Coefficient-Based Graph Neural Network for Dynamic Soft Sensor of Polypropylene Industries,,10.1021/acs.iecr.4c02832,2025,4,Scopus
Spatio-Temporal Graph Fusion Network-Based Multivariate Time Series Forecasting of Environmental Factors in Utility Tunnels,,10.1007/978-981-96-1024-2_24,2025,0,Scopus
Design of an Iterative Method for Time Series Forecasting Using Temporal Attention and Hybrid Deep Learning Architectures,,10.1109/access.2025.3538577,2025,1,Scopus
Probabilistic forecasting of renewable energy and electricity demand using Graph-based Denoising Diffusion Probabilistic Model,,10.1016/j.egyai.2024.100459,2025,10,Scopus
Nearest Neighbor Multivariate Time Series Forecasting,,10.1109/tnnls.2024.3490603,2025,0,Scopus
Time-lagged relation graph neural network for multivariate time series forecasting,,10.1016/j.engappai.2024.109530,2025,3,Scopus
DyGraphformer: Transformer combining dynamic spatio-temporal graph network for multivariate time series forecasting,,10.1016/j.neunet.2024.106776,2025,10,Scopus
Adaptive Spatio-Temporal Relation Based Transformer for Traffic Flow Prediction,,10.1109/tvt.2024.3390997,2025,9,Scopus
Exploiting Spatial-Temporal Joint Information from the Frequency Domain for Multivariate Time Series Forecasting,,10.1109/ijcnn64981.2025.11228734,2025,0,Scopus
A Dynamic Stiefel Graph Neural Network for Efficient Spatio-Temporal Time Series Forecasting,,10.24963/ijcai.2025/796,2025,1,Scopus
State Feedback Enhanced Graph Differential Equations for Multivariate Time Series Forecasting,,10.24963/ijcai.2025/820,2025,0,Scopus
Dynamic graph structure correction with nonadjacent correlations for multivariate time series forecasting,,10.1016/j.eswa.2025.129768,2025,0,Scopus
